title,time,link,points
Parsing Protobuf Definitions with Tree-sitter,1 day ago,https://relistan.com/parsing-protobuf-files-with-treesitter,97
Qub – a framework for building websites with QBasic,19 hours ago,https://github.com/jamonholmgren/qub,91
"Additive manufacturing of an ultrastrong, deformable aluminum alloy",2 days ago,https://www.nature.com/articles/s41467-024-48693-4,90
Writing a system call tracer using eBPF,16 hours ago,https://sh4dy.com/2024/08/03/beetracer/,89
Revisiting Linux CPU Scheduling,1 day ago,https://www.uninformativ.de/blog/postings/2024-08-03/0/POSTING-en.html,87
How to Get or Create in PostgreSQL,5 hours ago,https://hakibenita.com/postgresql-get-or-create,85
How the Music Industry Learned to Love Piracy,1 hour ago,https://www.nytimes.com/2024/07/31/magazine/how-music-got-free-documentary.html,8
A 20-something dethroned dotcom CEO that went to work the counter at McDonald's,1 hour ago,https://web.archive.org/web/20040616091238/http://www.heiferman.com/mcd/,8
Single-packet race condition breaking the 65535 byte lim,6 hours ago,https://flatt.tech/research/posts/beyond-the-limit-expanding-single-packet-race-condition-with-first-sequence-sync/,76
HamClock – a real time space weather dashboard,1 day ago,https://www.clearskyinstitute.com/ham/HamClock/,71
California lawmakers got ticket freebies as they cracked down on Ticketmaster,2 hours ago,https://www.politico.com/news/2024/08/05/california-lawmakers-free-tickets-00170882,67
Open Source Farming Robot,1 day ago,https://farm.bot/,659
"Why Does Everyone Hate Haskell, Jazz, and Pure Math?",8 hours ago,https://adueck.github.io/blog/on-haskell-jazz-and-pure-math/,63
Nvidia's Blackwell Reworked – Shipment Delays and GB200A Reworked Platforms,18 hours ago,https://www.semianalysis.com/p/nvidias-blackwell-reworked-shipment,62
How to build quickly,1 day ago,https://learnhowtolearn.org/how-to-build-extremely-quickly/,616
I Wasn't the First Person to Find the NJ Coca-Cola Cocaine Factory,1 day ago,https://rmcortes.medium.com/i-wasnt-the-first-to-find-the-nj-cocaine-factory-5f37aed74776,60
Romram: Using QSPI RAM with RP2040's SSI in read-write mode,19 hours ago,http://dmitry.gr/?r=06.%20Thoughts&proj=10.%20RomRam,60
Reduct: Transcript-Based Video Editing,12 hours ago,https://reduct.video/,6
What do people ask chatbots? It's a lot of sex and homework,58 minutes ago,https://www.washingtonpost.com/technology/2024/08/04/chatgpt-use-real-ai-chatbot-conversations/,6
You Can't Spell WebRTC Without RCE – Part 1,1 day ago,https://margin.re/2024/07/you-cant-spell-webrtc-without-rce-part-1/,54
Andy Warhol's lost Amiga art found,33 minutes ago,https://dfarq.homeip.net/andy-warhols-lost-amiga-art-found/,51
Voter Documents Leaked Online,2 hours ago,https://www.techradar.com/pro/millions-of-voter-documents-leaked-online-fears-of-election-interference-rise-following-breach,5
Starting Hospice,12 hours ago,https://jakeseliger.com/2024/08/04/starting-hospice-the-end/,491
"50 years ago, CP/M started the microcomputer revolution",14 hours ago,https://www.theregister.com/2024/08/02/cpm_50th_anniversary/,48
Thunderstorms Have Caused $45B in Damages in the U.S. in Six Months,12 hours ago,https://www.scientificamerican.com/article/thunderstorms-have-caused-usd45-billion-in-damages-in-the-u-s-in-just-six/,47
Porting my JavaScript game engine to C for no reason,1 day ago,https://phoboslab.org/log/2024/08/high_impact,468
Improving _Generic in C2y,22 hours ago,https://thephd.dev/improving-_generic-in-c2y,45
The Spartan Protocol Homepage,20 hours ago,http://portal.mozz.us/gemini/spartan.mozz.us/,45
Computer Security Is a Political Struggle,4 hours ago,https://cybershow.uk/blog/posts/computer-security-is-a-political-struggle/,44
"Indonesia bans search engine DuckDuckGo on gambling, pornography concerns",14 hours ago,https://www.reuters.com/world/asia-pacific/indonesia-bans-search-engine-duckduckgo-gambling-pornography-concerns-2024-08-02/,43
Stop Killing Games,8 hours ago,https://eci.ec.europa.eu/045/public/,421
Largest Geothermal Development in America Taking Shape in Utah,1 hour ago,https://mymodernmet.com/california-geothermal-project/,41
Date-fns: Modern JavaScript date utility library,13 hours ago,https://date-fns.org/,4
A cryptographically secure bootloader for RISC-V in Rust,1 hour ago,https://www.codethink.co.uk/articles/2024/secure_bootloader/,39
"How I Use ""AI""",1 day ago,https://nicholas.carlini.com/writing/2024/how-i-use-ai.html,371
Online trading platforms down for users,1 hour ago,https://www.reuters.com/business/finance/online-trading-platforms-down-thousands-users-downdetector-shows-2024-08-05/,37
Building a 10BASE5 Thick Ethernet Network (2012),23 hours ago,https://www.mattmillman.com/projects/10base5/,37
Jailbroke my Kindle to use it as an e-ink monitor,22 hours ago,https://gist.github.com/adtac/eb639d3c707b55a28f0ee9a420aa7e0c,362
Show HN: Free e-book about WebGPU Programming,17 hours ago,https://shi-yan.github.io/webgpuunleashed/,348
"The meanest app: Duolingo subjects its users to ""emotional blackmail""",5 hours ago,https://www.businessinsider.com/duolingo-meanest-app-nagging-notifications-melting-icon-gen-z-marketing-2024-7,34
"Google pulls its terrible pro-AI ""Dear Sydney"" ad after backlash",4 hours ago,https://arstechnica.com/culture/2024/08/google-pulls-its-terrible-pro-ai-dear-sydney-ad-after-backlash/,34
Reverse engineering the 59-pound printer onboard the Space Shuttle,1 day ago,http://www.righto.com/2024/08/space-shuttle-interim-teleprinter.html,325
I Miss Lorina Bulwer: A hand-stitched letter of note,1 day ago,https://news.lettersofnote.com/p/i-miss-lorina-bulwer,31
WhenFS: Calender Is Now a File System,23 hours ago,https://github.com/lvkv/whenfs,305
How Diaries Evolved from Lists to Personal Histories,1 day ago,https://slate.com/culture/2024/07/book-author-roland-allen-explains-the-history-of-the-diary-in-the-notebook-a-history-of-thinking-on-paper.html,29
Myspace celebrates its 21st birthday. Do we still need it?,17 hours ago,https://triblive.com/business/technology/myspace-celebrates-its-21st-birthday-do-we-still-need-it/,29
"A Knownbits Abstract Domain for the Toy Optimizer, Correctly",21 hours ago,https://pypy.org/posts/2024/08/toy-knownbits.html,26
Minimum Viable CD,22 hours ago,https://minimumcd.org/minimumcd/,26
Make your electronics tamper-evident,1 day ago,https://www.anarsec.guide/posts/tamper/,256
How Postgres stores data on disk – this one's a page turner,7 hours ago,https://drew.silcock.dev/blog/how-postgres-stores-data-on-disk/,249
Techniques used by developers to bypass App Store review,2 days ago,https://9to5mac.com/2024/08/02/developers-trick-app-store-review/,248
Self-Compressing Neural Networks,1 day ago,https://arxiv.org/abs/2301.13142,212
The Internet Is Broken: Idealistic Ideas for Building a GNU Network [pdf] (2014),23 hours ago,https://www.w3.org/2014/strint/papers/65.pdf,21
Building Lego Machines to Destroy Tall Lego Towers,14 hours ago,https://kottke.org/24/07/building-lego-machines-to-destroy-tall-lego-towers,200
"Ask HN: Trying to find an old HN post, failing at search",16 hours ago,item?id=41156962,20
The 1-HR nurse visits that cost $15B to Medicare,4 hours ago,https://www.wsj.com/health/healthcare/medicare-extra-payments-home-visits-diagnosis-057dca8b,20
Making your own hot sauce,1 day ago,https://successfulsoftware.net/2024/08/04/making-your-own-hot-sauce/,198
"Apple Intelligence beta flagged a phishing email as ""Priority""",5 hours ago,https://social.panic.com/@cabel/112905175504595751,197
"Age is a simple, modern and secure file encryption tool, format, and Go library",17 hours ago,https://github.com/FiloSottile/age,196
"Written by a 16 year old, a book on how computers work",1 day ago,https://github.com/hackclub/RAM-a-thon,190
Smoke Forecast – Real time map of fires and their smoke with forecast,19 hours ago,https://firesmoke.ca/forecasts/current/,19
Airlines are running out of 4-digit flight numbers,21 hours ago,https://viewfromthewing.com/airlines-are-running-out-of-flight-numbers-and-they-dont-know-what-to-do-about-it/,186
New study uses self-interacting dark matter to solve the final parsec problem,3 hours ago,https://phys.org/news/2024-07-interacting-dark-parsec-problem.html,18
Belenios: Verifiable online voting system,1 day ago,https://www.belenios.org/,167
Tomato nostalgia as I relive my Croatian island childhood,1 day ago,https://www.croatiaweek.com/tomatoes-croatian-island-taste/,166
Organic maps: Experimental feed based public transport mapping,1 day ago,https://github.com/organicmaps/organicmaps/blob/master/docs/EXPERIMENTAL_PUBLIC_TRANSPORT_SUPPORT.md,165
Cortex A73's Not-So-Infinite Reordering Capacity,18 hours ago,https://chipsandcheese.com/2024/08/04/cortex-a73s-not-so-infinite-reordering-capacity/,164
The Untold Story of How US Spies Sabotaged Soviet Technology,1 day ago,https://www.politico.com/news/magazine/2024/08/04/us-spies-soviet-technology-00164126,162
"""We ran out of columns""",2 days ago,https://jimmyhmiller.github.io/ugliest-beautiful-codebase,1510
Build a Digital Human,1 hour ago,https://build.nvidia.com/nvidia/digital-humans-virtual-assistant,15
Evaluating a class of infinite sums in closed form,1 day ago,https://www.johndcook.com/blog/2024/08/03/polylog/,143
Weak Soft Skills: Why you are stuck at the Senior engineer level,1 hour ago,https://pathtostaff.substack.com/p/weak-soft-skills-why-you-are-stuck,14
USB Sniffer Lite for RP2040,1 day ago,https://github.com/ataradov/usb-sniffer-lite,137
Discovering algorithms by enumerating terms in Haskell,2 days ago,https://twitter.com/VictorTaelin/status/1819208143638831404,137
A primer on the current state of longevity research,22 hours ago,https://www.owlposting.com/p/some-questions-and-answers-i-had,131
Buster: Captcha Solver for Humans,22 hours ago,https://github.com/dessant/buster,131
The introverts are winning,1 day ago,https://newhumanist.org.uk/articles/6306/the-introverts-are-winning,130
"Bangladesh PM Hasina has resigned and left the country, media reports say",6 hours ago,https://www.reuters.com/world/asia-pacific/bangladesh-protesters-call-march-dhaka-defiance-curfew-2024-08-05/,13
PFAS removed from water with 3D-printed ceramic monoliths,9 hours ago,https://www.bath.ac.uk/announcements/health-threat-forever-chemicals-removed-from-water-with-3d-printed-ceramic-ink/,13
"Zero regrets: Firefox power user kept 7,500 tabs open for two years",18 hours ago,https://www.techspot.com/news/102871-zero-regrets-firefox-power-user-kept-7500-tabs.html,129
Uncovered Euripides fragments are 'kind of a big deal',4 hours ago,https://www.colorado.edu/asmagazine/2024/08/01/uncovered-euripides-fragments-are-kind-big-deal,127
Japan stocks plunge as much as 7% as Asia shares extend sell-off,14 hours ago,https://www.cnbc.com/2024/08/05/asia-markets.html,124
Go Donut: Convert Live Streaming to WebRTC,2 days ago,https://github.com/flavioribeiro/donut,123
Rhombus: Macro-extensible language with conventional syntax built on Racket,1 day ago,https://docs.racket-lang.org/rhombus/index.html,122
China's dramatic drop in air pollution may have prevented suicides in the 2010s,7 hours ago,https://dialogue.earth/en/pollution/cleaner-air-shown-to-have-reduced-suicides-in-china/,12
Dispatches from the farm upstate,22 hours ago,https://lcamtuf.substack.com/p/dispatches-from-the-farm-upstate,109
You can contribute to KDE with non-C++ code,1 day ago,https://rabbitictranslator.com/contribute-to-kde-without-cpp/,104
"Apprentice, Journeyman, and Master: The Medieval Guild (2018)",1 day ago,https://blog.philosophicalsociety.org/2018/01/10/apprentice-journeyman-and-master-the-medieval-guild/,101
"Enum class improvements for C++17, C++20 and C++23",19 hours ago,https://www.cppstories.com/2024/enum-improvements/,101
UpCodes (YC S17) is hiring remote SWEs to help make buildings cheaper,4 hours ago,https://up.codes/careers?utm_source=HN,0
